,TICKER,CIK,YEAR,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,FISCAL YEAR END,YEAR-1 REVENUE,REVENUE,YEAR+1 REVENUE,YEAR-1 NET INCOME,NET INCOME,YEAR+1 NET INCOME,Y-1 PROFIT MARGIN,Y PROFIT MARGIN,Y+1 PROFIT MARGIN,CURRENT REVENUE YOY,NEXT REVENUE YOY,CURRENT PROFIT MARGIN YOY,NEXT PROFIT MARGIN YOY,YEAR-1 ROE,ROE,YEAR+1 ROE,YEAR-1 ASSET,ASSET,YEAR+1 ASSET
34,AAPL US,0000320193,2018,0000320193-18-000145,10-K,2018-09-29,2018-11-05,20181105,APPLE INC,0930,229234.0,265595.0,260174.0,48351.0,59531.0,55256.0,0.2109242084507533,0.2241420207458724,0.2123809450598445,-0.3832141750028293,0.9044674910251296,0.013217812295119,-0.0117610756860279,36.86750846,49.36358284,55.91722114,375319.0,365725.0,338516.0
35,AAPL US,0000320193,2019,0000320193-19-000119,10-K,2019-09-28,2019-10-31,20191030,Apple Inc.,0928,265595.0,260174.0,274515.0,59531.0,55256.0,57411.0,0.2241420207458724,0.2123809450598445,0.2091361127807223,0.9044674910251296,0.1013718714001466,-0.0117610756860279,-0.0032448322791222,49.36358284,55.91722114,73.68556155,365725.0,338516.0,323888.0
36,AAPL US,0000320193,2020,0000320193-20-000096,10-K,2020-09-26,2020-10-30,20201029,Apple Inc.,0926,260174.0,274515.0,365817.0,55256.0,57411.0,94680.0,0.2123809450598445,0.2091361127807223,0.2588179335569424,0.1013718714001466,-0.1709613007511647,-0.0032448322791222,0.04968182077622,55.91722114,73.68556155,147.4433344,338516.0,323888.0,351002.0
37,AAPL US,0000320193,2021,0000320193-21-000105,10-K,2021-09-25,2021-10-29,20211028,Apple Inc.,0925,274515.0,365817.0,394328.0,57411.0,94680.0,99803.0,0.2091361127807223,0.2588179335569424,0.2530964070519973,-0.1709613007511647,-0.138777382727377,0.04968182077622,-0.005721526504945,73.68556155,147.4433344,175.4592922,323888.0,351002.0,352755.0
38,AAPL US,0000320193,2022,0000320193-22-000108,10-K,2022-09-24,2022-10-28,20221027,Apple Inc.,0924,365817.0,394328.0,383285.0,94680.0,99803.0,96995.0,0.2588179335569424,0.2530964070519973,0.2530623426432028,-0.138777382727377,0.2081502197363164,-0.005721526504945,-3.406440879449857e-05,147.4433344,175.4592922,171.9495116,351002.0,352755.0,352583.0
39,AAPL US,0000320193,2023,0000320193-23-000106,10-K,2023-09-30,2023-11-03,20231102,Apple Inc.,0930,394328.0,383285.0,0.0,99803.0,96995.0,0.0,0.2530964070519973,0.2530623426432028,0.0,0.2081502197363164,0.0647045855379188,-3.406440879449857e-05,0.0,175.4592922,171.9495116,0,352755.0,352583.0,0
40,ABBV US,0001551152,2015,0001047469-16-010239,10-K,2015-12-31,2016-02-19,20160219,AbbVie Inc.,1231,0.0,22859.0,0.0,0.0,5144.0,0.0,0.0,0.2250317161730609,0.0,0.0647045855379188,0.1207164302722849,0.0,0.0,0,179.9894496,0,0,53050.0,0
41,ABNB US,0001559720,2020,0001559720-21-000010,10-K,2020-12-31,2021-02-26,20210226,"Airbnb, Inc.",1231,0.0,3378.2,5992.0,0.0,-4584.72,-352.0,0.0,-1.3571487774554498,-0.0587449933244325,0.1207164302722849,0.3577829099307159,0.0,1.2984037841310172,0,nan,-9.170508011,0,10491.499,13708.0
42,ABNB US,0001559720,2021,0001559720-22-000006,10-K,2021-12-31,2022-02-25,20220225,"Airbnb, Inc.",1231,3378.2,5992.0,8399.0,-4584.72,-352.0,1893.0,-1.3571487774554498,-0.0587449933244325,0.2253839742826527,0.3577829099307159,0.1365491903660362,1.2984037841310172,0.2841289676070853,nan,-9.170508011,36.63280116,10491.499,13708.0,16038.0
43,ABNB US,0001559720,2022,0001559720-23-000003,10-K,2022-12-31,2023-02-17,20230217,"Airbnb, Inc.",1231,5992.0,8399.0,0.0,-352.0,1893.0,0.0,-0.0587449933244325,0.2253839742826527,0.0,0.1365491903660362,-0.1255312780604609,0.2841289676070853,0.0,-9.170508011,36.63280116,0,13708.0,16038.0,0
44,ABT US,0000001800,2021,0001104659-22-025141,10-K,2021-12-31,2022-02-18,20220218,ABBOTT LABORATORIES,1231,0.0,43075.0,43653.0,0.0,7071.0,6933.0,0.0,0.1641555426581543,0.1588206996082743,-0.1255312780604609,0.1775739320920044,0.0,-0.00533484304988,0,20.61936838,19.12868337,0,75196.0,74438.0
45,ABT US,0000001800,2022,0001628280-23-004026,10-K,2022-12-31,2023-02-17,20230217,ABBOTT LABORATORIES,1231,43075.0,43653.0,0.0,7071.0,6933.0,0.0,0.1641555426581543,0.1588206996082743,0.0,0.1775739320920044,0.340716195791187,-0.00533484304988,0.0,20.61936838,19.12868337,0,75196.0,74438.0,0
46,ACN US,0001467373,2020,0001467373-20-000376,10-K,2020-08-31,2020-10-22,20201022,Accenture plc,0831,0.0,44327.04,50533.39,0.0,5107.84,5906.81,0.0,0.1152307936645442,0.116889248870895,0.340716195791187,0.1180245414733555,0.0,0.0016584552063508,0,32.52412069,32.33950516,0,37078.593,43175.843
47,ACN US,0001467373,2021,0001467373-21-000229,10-K,2021-08-31,2021-10-15,20211015,Accenture plc,0831,44327.04,50533.39,61594.31,5107.84,5906.81,6877.17,0.1152307936645442,0.116889248870895,0.1116526835027456,0.1180245414733555,0.0283885980221058,0.0016584552063508,-0.0052365653681494,32.52412069,32.33950516,33.03508101,37078.593,43175.843,47263.39
48,ACN US,0001467373,2022,0001467373-22-000295,10-K,2022-08-31,2022-10-12,20221012,Accenture plc,0831,50533.39,61594.31,64111.75,5906.81,6877.17,6871.56,0.116889248870895,0.1116526835027456,0.1071809769660007,0.0283885980221058,-1.0,-0.0052365653681494,-0.0044717065367448,32.33950516,33.03508101,28.75192452,43175.843,47263.39,51245.305
49,ACN US,0001467373,2023,0001467373-23-000324,10-K,2023-08-31,2023-10-12,20231012,Accenture plc,0831,61594.31,64111.75,0.0,6877.17,6871.56,0.0,0.1116526835027456,0.1071809769660007,0.0,1.0,0.1657202306125103,-0.0044717065367448,0.0,33.03508101,28.75192452,0,47263.39,51245.305,0
50,ADBE US,0000796343,2007,0001047469-08-000497,10-K,2007-11-30,2008-01-24,20080124,ADOBE SYSTEMS INC,1130,0.0,3157.88,3579.89,0.0,723.81,871.81,0.0,0.2292075696353249,0.2435298291288279,0.1657202306125103,0.1225023550994099,0.0,0.014322259493503,0,14.76877139,19.24462846,0,5713.679,5821.598
51,ADBE US,0000796343,2008,0000796343-09-000007,10-K,2008-11-28,2009-01-23,20090123,ADOBE SYSTEMS INC,1130,3157.88,3579.89,2945.85,723.81,871.81,386.51,0.2292075696353249,0.2435298291288279,0.1312049153894461,0.1225023550994099,0.0,0.014322259493503,-0.1123249137393818,14.76877139,19.24462846,8.311176032,5713.679,5821.598,7282.237
52,ADBE US,0000796343,2009,0000796343-10-000003,10-K,2009-11-27,2010-01-22,20100122,ADOBE SYSTEMS INC,1130,3579.89,2945.85,3800.0,871.81,386.51,774.68,0.2435298291288279,0.1312049153894461,0.2038631578947368,0.0,-0.0083371061959606,-0.1123249137393818,0.0726582425052906,19.24462846,8.311176032,15.36613027,5821.598,7282.237,8141.148
53,ADBE US,0000796343,2010,0000796343-11-000003,10-K,2010-12-03,2011-01-27,20110127,ADOBE SYSTEMS INC,1130,2945.85,3800.0,0.0,386.51,774.68,0.0,0.1312049153894461,0.2038631578947368,0.0,-0.0083371061959606,-0.0957975145873235,0.0726582425052906,0.0,8.311176032,15.36613027,0,7282.237,8141.148,0
54,ADM US,0000007084,2009,0000007084-09-000051,10-K,2009-06-30,2009-08-26,20090826,ARCHER DANIELS MIDLAND CO,0630,0.0,69207.0,80676.0,0.0,1684.0,2036.0,0.0,0.0243327987053332,0.0252367494670038,-0.0957975145873235,-0.166241795051785,0.0,0.0009039507616705,0,12.42025298,12.18541461,0,31582.0,42193.0
55,ADM US,0000007084,2011,0000007084-11-000028,10-K,2011-06-30,2011-08-25,20110824,ARCHER DANIELS MIDLAND CO,0630,69207.0,80676.0,90559.0,1684.0,2036.0,1375.0,0.0243327987053332,0.0252367494670038,0.0151834715489349,-0.166241795051785,-0.0791113999586422,0.0009039507616705,-0.0100532779180688,12.42025298,12.18541461,7.289016115,31582.0,42193.0,45136.0
56,ADM US,0000007084,2012,0000007084-12-000034,10-K,2012-06-30,2012-08-27,20120824,ARCHER DANIELS MIDLAND CO,0630,80676.0,90559.0,90559.0,2036.0,1375.0,1375.0,0.0252367494670038,0.0151834715489349,0.0151834715489349,-0.0791113999586422,-0.0243479934558752,-0.0100532779180688,0.0,12.18541461,7.289016115,7.289016115,42193.0,45136.0,45136.0
57,ADM US,0000007084,2012,0000007084-13-000014,10-KT,2012-12-31,2013-02-28,20130228,ARCHER DANIELS MIDLAND CO,1231,90559.0,90559.0,89804.0,1375.0,1375.0,1342.0,0.0151834715489349,0.0151834715489349,0.0149436550710436,-0.0243479934558752,0.0577530084829354,0.0,-0.0002398164778913,7.289016115,7.289016115,6.868666189,45136.0,45136.0,43752.0
58,ADM US,0000007084,2013,0000007084-14-000011,10-K,2013-12-31,2014-02-26,20140226,ARCHER DANIELS MIDLAND CO,1231,90559.0,89804.0,81201.0,1375.0,1342.0,2248.0,0.0151834715489349,0.0149436550710436,0.0276843881232989,0.0577530084829354,0.004895789620926,-0.0002398164778913,0.0127407330522553,7.289016115,6.868666189,11.31610078,45136.0,43752.0,43997.0
59,ADM US,0000007084,2014,0000007084-15-000005,10-K,2014-12-31,2015-02-20,20150220,ARCHER DANIELS MIDLAND CO,1231,89804.0,81201.0,67702.0,1342.0,2248.0,1849.0,0.0149436550710436,0.0276843881232989,0.0273108623083513,0.004895789620926,-0.004655407077456,0.0127407330522553,-0.0003735258149476,6.868666189,11.31610078,9.868175268,43752.0,43997.0,40157.0
60,ADM US,0000007084,2015,0000007084-16-000046,10-K,2015-12-31,2016-02-19,20160219,ARCHER DANIELS MIDLAND CO,1231,81201.0,67702.0,62346.0,2248.0,1849.0,1279.0,0.0276843881232989,0.0273108623083513,0.0205145478458922,-0.004655407077456,0.3246678579752933,-0.0003735258149476,-0.006796314462459,11.31610078,9.868175268,7.293567518,43997.0,40157.0,39769.0
61,ADM US,0000007084,2016,0000007084-17-000008,10-K,2016-12-31,2017-02-17,20170217,ARCHER DANIELS MIDLAND CO,1231,67702.0,62346.0,60828.0,1849.0,1279.0,1595.0,0.0273108623083513,0.0205145478458922,0.0262214769514039,0.3246678579752933,0.1912867013102793,-0.006796314462459,0.0057069291055116,9.868175268,7.293567518,8.989460632,40157.0,39769.0,39963.0
62,ADM US,0000007084,2017,0000007084-18-000012,10-K,2017-12-31,2018-02-16,20180216,ARCHER DANIELS MIDLAND CO,1231,62346.0,60828.0,64341.0,1279.0,1595.0,1810.0,0.0205145478458922,0.0262214769514039,0.0281313625837335,0.1912867013102793,-1.0,0.0057069291055116,0.0019098856323295,7.293567518,8.989460632,9.706655226,39769.0,39963.0,40833.0
63,ADM US,0000007084,2018,0000007084-19-000012,10-K,2018-12-31,2019-02-19,20190219,ARCHER DANIELS MIDLAND CO,1231,60828.0,64341.0,64656.0,1595.0,1810.0,1379.0,0.0262214769514039,0.0281313625837335,0.021328260331601,1.0,0.2899574896009508,0.0019098856323295,-0.0068031022521324,8.989460632,9.706655226,7.221974914,39963.0,40833.0,43997.0
64,ADM US,0000007084,2019,0000007084-20-000009,10-K,2019-12-31,2020-02-18,20200218,Archer-Daniels-Midland Co,1231,64341.0,64656.0,64355.0,1810.0,1379.0,1772.0,0.0281313625837335,0.021328260331601,0.027534768083288,0.2899574896009508,0.0339895961786508,-0.0068031022521324,0.0062065077516869,9.706655226,7.221974914,9.038971638,40833.0,43997.0,49719.0
65,ADM US,0000007084,2020,0000007084-21-000008,10-K,2020-12-31,2021-02-18,20210218,Archer-Daniels-Midland Co,1231,64656.0,64355.0,85249.0,1379.0,1772.0,2709.0,0.021328260331601,0.027534768083288,0.0317774988562915,0.0339895961786508,0.0284856543612661,0.0062065077516869,0.0042427307730035,7.221974914,9.038971638,12.75513807,43997.0,49719.0,56136.0
66,ADM US,0000007084,2021,0000007084-22-000008,10-K,2021-12-31,2022-02-17,20220217,Archer-Daniels-Midland Co,1231,64355.0,85249.0,101556.0,1772.0,2709.0,4340.0,0.027534768083288,0.0317774988562915,0.0427350427350427,0.0284856543612661,0.0994908499606808,0.0042427307730035,0.0109575438787511,9.038971638,12.75513807,18.56247728,49719.0,56136.0,59774.0
67,ADM US,0000007084,2022,0000007084-23-000010,10-K,2022-12-31,2023-02-14,20230214,Archer-Daniels-Midland Co,1231,85249.0,101556.0,0.0,2709.0,4340.0,0.0,0.0317774988562915,0.0427350427350427,0.0,0.0994908499606808,0.0917609693119898,0.0109575438787511,0.0,12.75513807,18.56247728,0,56136.0,59774.0,0
68,ADP US,0000008670,2015,0000008670-15-000021,10-K,2015-06-30,2015-08-07,20150807,AUTOMATIC DATA PROCESSING INC,0630,0.0,10938.5,14110.2,0.0,1452.5,2292.8,0.0,0.1327878593957124,0.162492381397854,0.0917609693119898,-1.0,0.0,0.0297045220021416,0,25.30774391,45.24161882,0,33110.5,41887.7
69,ADP US,0000008670,2019,0000008670-19-000021,10-K,2019-06-30,2019-08-09,20190809,AUTOMATIC DATA PROCESSING INC,0630,10938.5,14110.2,14589.8,1452.5,2292.8,2466.5,0.1327878593957124,0.162492381397854,0.1690564641050597,1.0,1.3766991822890644,0.0297045220021416,0.0065640827072056,25.30774391,45.24161882,44.23382143,33110.5,41887.7,39165.5
70,ADP US,0000008670,2020,0000008670-20-000032,10-K,2020-06-30,2020-08-05,20200805,AUTOMATIC DATA PROCESSING INC,0630,14110.2,14589.8,15005.4,2292.8,2466.5,2598.5,0.162492381397854,0.1690564641050597,0.1731709917762938,1.3766991822890644,-1.0,0.0065640827072056,0.0041145276712341,45.24161882,44.23382143,45.49871742,41887.7,39165.5,48772.5
71,ADP US,0000008670,2021,0000008670-21-000027,10-K,2021-06-30,2021-08-04,20210804,AUTOMATIC DATA PROCESSING INC,0630,14589.8,15005.4,16498.3,2466.5,2598.5,2948.9,0.1690564641050597,0.1731709917762938,0.1787396277192195,1.0,0.217142752104702,0.0041145276712341,0.0055686359429256,44.23382143,45.49871742,66.30168402,39165.5,48772.5,63068.2
