,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,CENTRAL INDEX KEY,FISCAL YEAR END
133,0000950124-03-000824,10-K,20021231,20030324,Not found,DTE ENERGY CO,0000936340,1231
134,0000950149-03-000355,10-K,20021231,20030219,Not found,AMAZON COM INC,0001018724,1231
135,0001038357-03-000009,10-K,20021231,20030221,Not found,PIONEER NATURAL RESOURCES CO,0001038357,1231
136,0000891020-03-002548,10-K,20030930,20031030,Not found,F5 NETWORKS INC,0001048695,0930
137,0001047469-03-024446,10-K,20030531,20030717,Not found,FEDEX CORP,0001048911,0531
138,0000899243-03-000641,10-K,20021231,20030326,Not found,CROWN CASTLE INTERNATIONAL CORP,0001051470,1231
139,0000950133-03-001053,10-K,20021231,20030328,Not found,COSTAR GROUP INC,0001057352,1231
140,0000950133-03-003441,10-K/A,20021231,20031015,Not found,COSTAR GROUP INC,0001057352,1231
141,0001193125-03-098260,10-K,20031031,20031222,Not found,AGILENT TECHNOLOGIES INC,0001090872,1031
142,0000950123-03-004266,10-K,20021231,20030415,Not found,CHARTER COMMUNICATIONS INC /MO/,0001091667,1231
143,0000950148-03-000464,10-K,20021229,20030305,Not found,TELEDYNE TECHNOLOGIES INC,0001094285,1231
144,0001047469-03-008802,10-K,20021231,20030314,Not found,EDWARDS LIFESCIENCES CORP,0001099800,1231
145,0001104659-03-024121,10-K/A,20021231,20031030,Not found,EDWARDS LIFESCIENCES CORP,0001099800,1231
146,0001047469-03-009461,10-K,20021228,20030320,Not found,CHARLES RIVER LABORATORIES INTERNATIONAL INC,0001100682,Not found
147,0000936392-03-000348,10-K,20021229,20030327,Not found,ILLUMINA INC,0001110803,1231
148,0001047469-03-011291,10-K,20021231,20030331,Not found,NASDAQ STOCK MARKET INC,0001120193,1231
149,0001121788-03-000004,10-K,20021228,20030325,Not found,GARMIN LTD,0001121788,1230
150,0001126328-03-000122,10-K,20021231,20030305,Not found,PRINCIPAL FINANCIAL GROUP INC,0001126328,1231
151,0001047469-03-010326,10-K,20021231,20030326,Not found,WILLIS GROUP HOLDINGS LTD,0001140536,1231
152,0000950131-03-001203,10-K,20021231,20030307,Not found,ANTHEM INC,0001156039,1231
153,0000950134-04-019339,10-K,20041031,20041215,20041215,APPLIED MATERIALS INC /DE,0000006951,1026
154,0001193125-04-041353,10-K,20031231,20040315,Not found,BRISTOL MYERS SQUIBB CO,0000014272,1231
155,0001193125-04-110278,10-K/A,20031231,20040628,Not found,BRISTOL MYERS SQUIBB CO,0000014272,1231
156,0001104659-04-006053,10-K,20031231,20040301,Not found,EQUITABLE RESOURCES INC /PA/,0000033213,1231
157,0000950133-04-000888,10-K,20031231,20040315,Not found,FEDERAL REALTY INVESTMENT TRUST,0000034903,1231
158,0000950152-04-001428,10-K,20031231,20040226,Not found,M&T BANK CORP,0000036270,1231
159,0000897101-04-000425,10-K,20031231,20040302,Not found,3M CO,0000066740,1231
160,0000084839-04-000012,10-K,20031231,20040315,Not found,ROLLINS INC,0000084839,1231
161,0001193125-04-033890,10-K,20031231,20040303,Not found,SCHLUMBERGER LTD /NV/,0000087347,1231
162,0000893220-04-000402,10-K,20031228,20040311,Not found,TELEFLEX INC,0000096943,1226
163,0001193125-04-025678,10-K,20031231,20040218,Not found,UNION PACIFIC CORP,0000100885,1231
164,0000950137-04-007712,10-K,20040702,20040914,20040914,WESTERN DIGITAL CORP,0000106040,0630
165,0001047469-04-006986,10-K,20031231,20040308,Not found,HALF ROBERT INTERNATIONAL INC /DE/,0000315213,1231
166,0001047469-04-035975,10-K,20040925,20041203,20041202,APPLE COMPUTER INC,0000320193,0930
167,0001193125-04-040348,10-K,20031231,20040312,Not found,PNC FINANCIAL SERVICES GROUP INC,0000713676,1231
168,0000950152-04-005452,10-K,20040531,20040720,Not found,PAYCHEX INC,0000723531,0531
169,0001104659-04-005114,10-K,20031231,20040219,Not found,REALTY INCOME CORP,0000726728,1231
170,0000926236-04-000130,10-K,20040630,20040830,20040830,HENRY JACK & ASSOCIATES INC,0000779152,0630
171,0001193125-04-150689,10-K,20040630,20040901,20040901,MICROSOFT CORP,0000789019,0630
172,0000936392-04-000858,10-K,20040926,20041103,20041103,QUALCOMM INC/DE,0000804328,0930
173,0001047469-04-007840,10-K,20031231,20040315,Not found,VIACOM INC,0000813828,1231
174,0001047469-04-003700,10-K,20031231,20040209,Not found,AMPHENOL CORP /DE/,0000820313,1231
175,0001104659-04-016118,10-K,20040331,20040603,Not found,MICROCHIP TECHNOLOGY INC,0000827054,0331
176,0001047469-04-036967,10-K,20040930,20041214,20041214,TYCO INTERNATIONAL LTD /BER/,0000833444,0930
177,0001193125-04-209557,10-K,20040925,20041208,20041208,HOLOGIC INC,0000859737,0930
178,0000950144-04-002392,10-K,20031231,20040312,Not found,HCA INC/TN,0000860730,1231
179,0000950123-04-003254,10-K,20031231,20040312,Not found,REGENERON PHARMACEUTICALS INC,0000872589,1231
180,0000950123-04-014749,10-K/A,20031231,20041214,20041214,REGENERON PHARMACEUTICALS INC,0000872589,1231
181,0001193125-04-038217,10-K,20031231,20040310,Not found,OLD DOMINION FREIGHT LINE INC/VA,0000878927,1231
182,0001125282-04-000976,10-K,20031231,20040310,Not found,KIMCO REALTY CORP,0000879101,1231
183,0001047469-04-008077,10-K,20031231,20040315,20040512,INTERACTIVECORP,0000891103,1231
184,0001193125-04-029127,10-K,20031130,20040225,Not found,MORGAN STANLEY,0000895421,1130
185,0001193125-04-172086,10-K/A,20031130,20041015,20041015,MORGAN STANLEY,0000895421,1130
186,0000950134-04-015006,10-K,20040731,20041014,20041014,COPART INC,0000900075,0731
187,0001193125-04-195535,10-K,20040829,20041112,20041112,COSTCO WHOLESALE CORP /NEW,0000909832,0830
188,0000920148-04-000057,10-K,20040311,20040311,Not found,LABORATORY CORP OF AMERICA HOLDINGS,0000920148,1231
189,0000920522-04-000006,10-K,20031231,20040315,Not found,ESSEX PROPERTY TRUST INC,0000920522,1231
190,0000935703-04-000034,10-K,20031231,20040413,Not found,DOLLAR TREE STORES INC,0000935703,1231
191,0000950124-04-000639,10-K,20031231,20040303,Not found,DTE ENERGY CO,0000936340,1231
192,0001125282-04-006450,10-K,20041031,20041222,20041222,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,1031
193,0000950134-04-009447,10-K,20040430,20040629,Not found,NETWORK APPLIANCE INC,0001002047,0430
194,0001193125-04-029488,10-K,20031231,20040225,Not found,AMAZON COM INC,0001018724,1231
195,0000950123-04-007137,10-K,20040403,20040607,Not found,POLO RALPH LAUREN CORP,0001037038,0331
196,0001193125-04-029645,10-K,20031231,20040226,Not found,BOSTON PROPERTIES INC,0001037540,1231
197,0001038357-04-000005,10-K,20031231,20040203,Not found,PIONEER NATURAL RESOURCES CO,0001038357,1231
198,0000950134-04-016803,10-K/A,20031231,20041109,20041108,AMB PROPERTY CORP,0001045609,1231
199,0000950124-04-006080,10-K,20040930,20041207,20041206,F5 NETWORKS INC,0001048695,0930
200,0001047469-04-023480,10-K,20040531,20040716,Not found,FEDEX CORP,0001048911,0531
201,0001193125-04-037856,10-K,20031231,20040310,Not found,CROWN CASTLE INTERNATIONAL CORP,0001051470,1231
202,0000950133-04-000870,10-K,20031231,20040312,Not found,COSTAR GROUP INC,0001057352,1231
203,0001193125-04-215624,10-K/A,20031231,20041217,20041217,CENTENE CORP,0001071739,Not found
204,0000950135-04-001174,10-K,20031231,20040310,Not found,AKAMAI TECHNOLOGIES INC,0001086222,1231
205,0000950137-04-001876,10-K,20031231,20040315,Not found,CHARTER COMMUNICATIONS INC /MO/,0001091667,1231
206,0000950148-04-000489,10-K,20031228,20040304,Not found,TELEDYNE TECHNOLOGIES INC,0001094285,1231
207,0000950129-04-006124,10-K/A,20031228,20040813,Not found,TELEDYNE TECHNOLOGIES INC,0001094285,1231
208,0001047469-04-007726,10-K,20031231,20040312,Not found,EDWARDS LIFESCIENCES CORP,0001099800,1231
209,0001047469-04-007257,10-K,20031227,20040310,Not found,CHARLES RIVER LABORATORIES INTERNATIONAL INC,0001100682,Not found
210,0000936392-04-000205,10-K,20031228,20040312,Not found,ILLUMINA INC,0001110803,1231
211,0001121788-04-000005,10-K,20031227,20040310,Not found,GARMIN LTD,0001121788,1230
212,0001126328-04-000056,10-K,20031231,20040303,Not found,PRINCIPAL FINANCIAL GROUP INC,0001126328,1231
213,0001047469-04-007909,10-K,20031231,20040315,Not found,WILLIS GROUP HOLDINGS LTD,0001140536,1231
214,0000950123-04-002820,10-K,20031231,20040304,Not found,MASTERCARD INC,0001141391,1231
215,0001193125-04-030877,10-K,20031231,20040227,Not found,ANTHEM INC,0001156039,1231
216,0001193125-04-042223,10-K,20031231,20040315,Not found,NEWMONT MINING CORP /DE/,0001164727,1231
217,0001193125-04-126163,10-K/A,20031231,20040728,Not found,NEWMONT MINING CORP /DE/,0001164727,1231
218,0000950123-04-003991,10-K,20031231,20040330,Not found,ASSURANT INC,0001267238,Not found
219,0000950134-05-023162,10-K,20051030,20051214,20051214,APPLIED MATERIALS INC /DE,0000006951,1026
220,0000009389-05-000060,10-K,20041231,20050223,20060207,BALL CORP,0000009389,1231
221,0000950152-05-002027,10-K,20041231,20050314,20050311,CINCINNATI FINANCIAL CORP,0000020286,1231
222,0001193125-05-043736,10-K,20041231,20050307,20050307,FEDERAL REALTY INVESTMENT TRUST,0000034903,1231
223,0001193125-05-242624,10-K,20050930,20051214,20051214,FRANKLIN RESOURCES INC,0000038777,0930
224,0001193125-05-241653,10-K,20050930,20051213,20060509,JACOBS ENGINEERING GROUP INC /DE/,0000052988,0930
225,0001104659-05-008057,10-K,20041231,20050224,20050224,3M CO,0000066740,1231
226,0001104659-05-009425,10-K,20041231,20050304,20050303,XCEL ENERGY INC,0000072903,1231
227,0000893220-05-000499,10-K,20041226,20050309,20050309,TELEFLEX INC,0000096943,1226
228,0001047469-05-006086,10-K,20041231,20050310,20050310,MARATHON OIL CORP,0000101778,1231
229,0000950152-05-007458,10-K,20050701,20050902,20050902,HARRIS CORP /DE/,0000202058,0630
230,0000950129-05-002159,10-K,20041231,20050309,20050309,AMGEN INC,0000318154,1231
231,0000950124-05-004551,10-K,20050531,20050729,20050729,NIKE INC,0000320187,0531
232,0000950152-05-006110,10-K,20050531,20050722,20050722,PAYCHEX INC,0000723531,0531
233,0001193125-05-039956,10-K,20041231,20050301,20050301,VENTAS INC,0000740260,1231
234,0001047469-05-014212,10-K,20050226,20050510,20050510,BEST BUY CO INC,0000764478,0301
235,0001193125-05-174825,10-K,20050630,20050826,20050825,MICROSOFT CORP,0000789019,0630
236,0000936392-05-000362,10-K,20050925,20051102,20051102,QUALCOMM INC/DE,0000804328,0930
237,0000950134-05-005251,10-K,20050101,20050316,20050316,CADENCE DESIGN SYSTEMS INC,0000813672,0102
238,0001047469-05-006777,10-K,20041231,20050316,20050316,VIACOM INC,0000813828,1231
239,0001104659-05-025010,10-K,20050331,20050523,20050523,MICROCHIP TECHNOLOGY INC,0000827054,0331
240,0000891020-05-000350,10-K,20051002,20051216,20051216,STARBUCKS CORP,0000829224,1002
241,0000891020-05-000050,10-K/A,20041003,20050218,20050218,STARBUCKS CORP,0000829224,0928
242,0001047469-05-028024,10-K,20050930,20051209,20051209,TYCO INTERNATIONAL LTD /BER/,0000833444,0930
243,0001193125-05-237204,10-K,20050924,20051206,20051206,HOLOGIC INC,0000859737,0930
244,0000950144-05-002397,10-K,20041231,20050311,20050311,HCA INC/TN,0000860730,1231
245,0000950135-05-001792,10-K,20041231,20050331,20050331,BIOGEN IDEC INC,0000875045,1231
246,0001104659-05-009342,10-K,20041231,20050303,20050303,ZEBRA TECHNOLOGIES CORP/DE,0000877212,1231
247,0001125282-05-001161,10-K,20041231,20050307,20050307,KIMCO REALTY CORP,0000879101,1231
248,0001047469-05-000652,10-K,20041031,20050112,20050111,SYNOPSYS INC,0000883241,1028
249,0000884887-05-000004,10-K,20041231,20050314,20050314,ROYAL CARIBBEAN CRUISES LTD,0000884887,1231
250,0000950123-05-001271,10-K,20041126,20050208,20050207,GOLDMAN SACHS GROUP INC/,0000886982,1128
251,0001047469-05-006738,10-K,20041231,20050316,20050316,IAC/INTERACTIVECORP,0000891103,1231
252,0001193125-05-025463,10-K,20041130,20050211,20050210,MORGAN STANLEY,0000895421,1130
253,0001104659-05-048573,10-K,20050731,20051014,20051014,COPART INC,0000900075,0731
254,0001193125-05-038619,10-K,20041231,20050228,20050228,NVR INC,0000906163,1231
255,0001193125-05-223245,10-K,20050828,20051110,20051110,COSTCO WHOLESALE CORP /NEW,0000909832,0830
256,0001104659-05-014152,10-K,20041231,20050331,20050331,ESSEX PROPERTY TRUST INC,0000920522,1231
257,0001193125-05-076605,10-K,20050129,20050414,20050414,DOLLAR TREE STORES INC,0000935703,0131
258,0000940944-05-000014,10-K/A,20040530,20050107,20050107,DARDEN RESTAURANTS INC,0000940944,0526
259,0001104659-05-042689,10-K,20050630,20050902,20050902,ESTEE LAUDER COMPANIES INC,0001001250,0630
260,0001193125-05-047032,10-K,20041231,20050311,20050311,AMAZON COM INC,0001018724,1231
261,0000950123-05-008114,10-K,20050402,20050701,20050701,POLO RALPH LAUREN CORP,0001037038,0331
262,0001193125-05-050590,10-K,20041231,20050315,20050315,BOSTON PROPERTIES INC,0001037540,1231
263,0000950152-05-001513,10-K,20041231,20050225,20050225,METTLER TOLEDO INTERNATIONAL INC/,0001037646,1231
264,0001038357-05-000076,10-K,20041231,20050222,20050222,PIONEER NATURAL RESOURCES CO,0001038357,1231
265,0000950124-05-006787,10-K,20050930,20051213,20051212,F5 NETWORKS INC,0001048695,0930
266,0001193125-05-063494,10-K,20041231,20050329,20050329,CROWN CASTLE INTERNATIONAL CORP,0001051470,1231
267,0000950123-05-003226,10-K,20041231,20050316,20050316,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,1231
268,0001104659-05-011153,10-K,20041231,20050315,20050315,PRICELINE COM INC,0001075531,1231
