,TICKERS,TICKER FROM BLOOMBERG,CIK,YEAR,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,FISCAL YEAR END,YEAR-1 REVENUE,REVENUE,YEAR+1 REVENUE,YEAR-1 NET INCOME,INCOME,YEAR+1 NET INCOME,Y-1 PROFIT MARGIN,Y PROFIT MARGIN,Y+1 PROFIT MARGIN,CURRENT REVENUE YOY,NEXT REVENUE YOY,CURRENT PROFIT MARGIN YOY,NEXT PROFIT MARGIN YOY
57,ADM,ADM US         d,7084,2012,0000007084-13-000014,10-KT,20121231,20130228,20130228,ARCHER DANIELS MIDLAND CO,1231,90559,90559,89804,1375,1375,1342,0.015183471548934948,0.015183471548934948,0.014943655071043607,0.0,-0.008337106195960644,0.0,-0.00023981647789134142
58,ADM,ADM US         d,7084,2013,0000007084-14-000011,10-K,20131231,20140226,20140226,ARCHER DANIELS MIDLAND CO,1231,90559,89804,81201,1375,1342,2248,0.015183471548934948,0.014943655071043607,0.027684388123298972,-0.008337106195960644,-0.09579751458732351,-0.00023981647789134142,0.012740733052255366
59,ADM,ADM US         d,7084,2014,0000007084-15-000005,10-K,20141231,20150220,20150220,ARCHER DANIELS MIDLAND CO,1231,89804,81201,67702,1342,2248,1849,0.014943655071043607,0.027684388123298972,0.027310862308351305,-0.09579751458732351,-0.16624179505178507,0.012740733052255366,-0.00037352581494766793
60,ADM,ADM US         d,7084,2015,0000007084-16-000046,10-K,20151231,20160219,20160219,ARCHER DANIELS MIDLAND CO,1231,81201,67702,62346,2248,1849,1279,0.027684388123298972,0.027310862308351305,0.020514547845892277,-0.16624179505178507,-0.07911139995864229,-0.00037352581494766793,-0.006796314462459027
61,ADM,ADM US         d,7084,2016,0000007084-17-000008,10-K,20161231,20170217,20170217,ARCHER DANIELS MIDLAND CO,1231,67702,62346,60828,1849,1279,1595,0.027310862308351305,0.020514547845892277,0.02622147695140396,-0.07911139995864229,-0.024347993455875277,-0.006796314462459027,0.005706929105511682
62,ADM,ADM US         d,7084,2017,0000007084-18-000012,10-K,20171231,20180216,20180216,ARCHER DANIELS MIDLAND CO,1231,62346,60828,64341,1279,1595,1810,0.020514547845892277,0.02622147695140396,0.028131362583733544,-0.024347993455875277,0.05775300848293549,0.005706929105511682,0.0019098856323295846
63,ADM,ADM US         d,7084,2018,0000007084-19-000012,10-K,20181231,20190219,20190219,ARCHER DANIELS MIDLAND CO,1231,60828,64341,64656,1595,1810,1379,0.02622147695140396,0.028131362583733544,0.02132826033160109,0.05775300848293549,0.0048957896209260035,0.0019098856323295846,-0.006803102252132456
64,ADM,ADM US         d,7084,2019,0000007084-20-000009,10-K,20191231,20200218,20200218,Archer-Daniels-Midland Co,1231,64341,64656,64355,1810,1379,1772,0.028131362583733544,0.02132826033160109,0.027534768083288013,0.0048957896209260035,-0.004655407077456075,-0.006803102252132456,0.0062065077516869245
65,ADM,ADM US         d,7084,2020,0000007084-21-000008,10-K,20201231,20210218,20210218,Archer-Daniels-Midland Co,1231,64656,64355,85249,1379,1772,2709,0.02132826033160109,0.027534768083288013,0.03177749885629157,-0.004655407077456075,0.3246678579752933,0.0062065077516869245,0.004242730773003554
66,ADM,ADM US         d,7084,2021,0000007084-22-000008,10-K,20211231,20220217,20220217,Archer-Daniels-Midland Co,1231,64355,85249,101556.0,1772,2709,4340.0,0.027534768083288013,0.03177749885629157,0.042735042735042736,0.3246678579752933,0.1912867013102793,0.004242730773003554,0.01095754387875117
67,ADM,ADM US         d,7084,2022,0000007084-23-000010,10-K,20221231,20230214,20230214,Archer-Daniels-Midland Co,1231,85249,101556.0,0,2709,4340.0,0,0.03177749885629157,0.042735042735042736,,0.1912867013102793,-1.0,0.01095754387875117,
68,ADP,ADP US         d,8670,2015,0000008670-15-000021,10-K,20150630,20150807,20150807,AUTOMATIC DATA PROCESSING INC,0630,0,10938.5,14110.2,0,1452.5,2292.8,,0.1327878593957124,0.16249238139785405,inf,0.28995748960095086,,0.02970452200214166
69,ADP,ADP US         d,8670,2019,0000008670-19-000021,10-K,20190630,20190809,20190809,AUTOMATIC DATA PROCESSING INC,0630,10938.5,14110.2,14589.8,1452.5,2292.8,2466.5,0.1327878593957124,0.16249238139785405,0.1690564641050597,0.28995748960095086,0.0339895961786508,0.02970452200214166,0.006564082707205654
70,ADP,ADP US         d,8670,2020,0000008670-20-000032,10-K,20200630,20200805,20200805,AUTOMATIC DATA PROCESSING INC,0630,14110.2,14589.8,15005.4,2292.8,2466.5,2598.5,0.16249238139785405,0.1690564641050597,0.17317099177629386,0.0339895961786508,0.028485654361266117,0.006564082707205654,0.004114527671234158
71,ADP,ADP US         d,8670,2021,0000008670-21-000027,10-K,20210630,20210804,20210804,AUTOMATIC DATA PROCESSING INC,0630,14589.8,15005.4,16498.3,2466.5,2598.5,2948.9,0.1690564641050597,0.17317099177629386,0.17873962771921956,0.028485654361266117,0.0994908499606808,0.004114527671234158,0.005568635942925698
72,ADP,ADP US         d,8670,2022,0000008670-22-000038,10-K,20220630,20220803,20220803,AUTOMATIC DATA PROCESSING INC,0630,15005.4,16498.3,18012.2,2598.5,2948.9,3412,0.17317099177629386,0.17873962771921956,0.1894271660319117,0.0994908499606808,0.0917609693119898,0.005568635942925698,0.010687538312692146
73,ADP,ADP US         d,8670,2023,0000008670-23-000030,10-K,20230630,20230803,20230803,AUTOMATIC DATA PROCESSING INC,0630,16498.3,18012.2,0,2948.9,3412,0,0.17873962771921956,0.1894271660319117,,0.0917609693119898,-1.0,0.010687538312692146,
74,ADSK,ADSK US       d,769397,2014,0000769397-14-000018,10-K,20140131,20140310,20140310,AUTODESK INC,0131,0,2273.9,2512.2,0,228.8,81.8,,0.10062008003870003,0.032561101823103254,inf,0.104797924271076,,-0.06805897821559678
75,ADSK,ADSK US       d,769397,2015,0000769397-15-000012,10-K,20150131,20150318,20150318,AUTODESK INC,0131,2273.9,2512.2,2504.1,228.8,81.8,-330.5,0.10062008003870003,0.032561101823103254,-0.13198354698294798,0.104797924271076,-0.0032242655839502866,-0.06805897821559678,-0.16454464880605124
76,ADSK,ADSK US       d,769397,2016,0000769397-16-000067,10-K,20160131,20160323,20160323,AUTODESK INC,0131,2512.2,2504.1,2031,81.8,-330.5,-582.1,0.032561101823103254,-0.13198354698294798,-0.2866075824716888,-0.0032242655839502866,-0.18893015454654363,-0.16454464880605124,-0.15462403548874085
77,ADSK,ADSK US       d,769397,2017,0000769397-17-000014,10-K,20170131,20170321,20170321,AUTODESK INC,0131,2504.1,2031,2056.6,-330.5,-582.1,-566.9,-0.13198354698294798,-0.2866075824716888,-0.2756491296314305,-0.18893015454654363,0.012604628261939886,-0.15462403548874085,0.010958452840258315
78,ADSK,ADSK US       d,769397,2018,0000769397-18-000011,10-K,20180131,20180322,20180322,AUTODESK INC,0131,2031,2056.6,2569.8,-582.1,-566.9,-80.8,-0.2866075824716888,-0.2756491296314305,-0.031442135574752894,0.012604628261939886,0.24953807254692226,0.010958452840258315,0.24420699405667762
79,ADSK,ADSK US       d,769397,2019,0000769397-19-000016,10-K,20190131,20190325,20190325,AUTODESK INC,0131,2056.6,2569.8,3274.3,-566.9,-80.8,214.5,-0.2756491296314305,-0.031442135574752894,0.06551018538313533,0.24953807254692226,0.2741458479259086,0.24420699405667762,0.09695232095788822
80,ADSK,ADSK US       d,769397,2020,0000769397-20-000013,10-K,20200131,20200319,20200319,"Autodesk, Inc.",0131,2569.8,3274.3,3790.4,-80.8,214.5,1208.2,-0.031442135574752894,0.06551018538313533,0.3187526382439848,0.2741458479259086,0.1576214763460892,0.09695232095788822,0.25324245286084945
81,ADSK,ADSK US       d,769397,2021,0000769397-21-000014,10-K,20210131,20210319,20210319,"Autodesk, Inc.",0131,3274.3,3790.4,4386.4,214.5,1208.2,497.0,0.06551018538313533,0.3187526382439848,0.11330476016779137,0.1576214763460892,0.15723934149430127,0.25324245286084945,-0.20544787807619344
82,ADSK,ADSK US       d,769397,2022,0000769397-22-000019,10-K,20220131,20220314,20220314,"Autodesk, Inc.",0131,3790.4,4386.4,5005,1208.2,497.0,823,0.3187526382439848,0.11330476016779137,0.16443556443556442,0.15723934149430127,0.14102681014043417,-0.20544787807619344,0.051130804267773056
83,ADSK,ADSK US       d,769397,2023,0000769397-23-000036,10-K,20230131,20230314,20230314,"Autodesk, Inc.",0131,4386.4,5005,0,497.0,823,0,0.11330476016779137,0.16443556443556442,,0.14102681014043417,-1.0,0.051130804267773056,
84,AEE,AEE US          d,1002910,2007,0000950137-08-003079,10-K,20071231,20080229,20080229,AMEREN CORP,1231,0,7562,7839,0,618,605,,0.08172441153134091,0.07717821150656971,inf,0.03663052102618355,,-0.004546200024771199
85,AEE,AEE US          d,1002910,2008,0001193125-09-042636,10-K,20081231,20090302,20090302,AMEREN CORP,1231,7562,7839,0,618,605,0,0.08172441153134091,0.07717821150656971,,0.03663052102618355,-1.0,-0.004546200024771199,
86,AEP,AEP US         d,4904,1999,0000004904-00-000039,10-K405,19991231,20000324,Not found,AMERICAN ELECTRIC POWER COMPANY INC,1231,0,12407,0,0,972,0,,0.07834287095994197,,inf,-1.0,,
87,AES,AES US         d,874761,2009,0001193125-10-041006,10-K,20091231,20100226,20100225,AES CORP,1231,0,13110,15443,0,658,9,,0.0501906941266209,0.0005827883183319304,inf,0.17795575896262394,,-0.04960790580828897
88,AES,AES US         d,874761,2010,0001193125-11-047720,10-K,20101231,20110228,20110225,AES CORP,1231,13110,15443,16098,658,9,58,0.0501906941266209,0.0005827883183319304,0.00360293204124736,0.17795575896262394,0.04241403872304604,-0.04960790580828897,0.003020143722915429
89,AES,AES US         d,874761,2011,0001193125-12-078654,10-K,20111231,20120227,20120224,AES CORP,1231,15443,16098,17164,9,58,-912,0.0005827883183319304,0.00360293204124736,-0.05313446749009555,0.04241403872304604,0.06621940613740837,0.003020143722915429,-0.056737399531342915
90,AES,AES US         d,874761,2012,0001193125-13-077580,10-K,20121231,20130227,20130226,AES CORP,1231,16098,17164,15891,58,-912,114,0.00360293204124736,-0.05313446749009555,0.007173872003020577,0.06621940613740837,-0.0741668608715917,-0.056737399531342915,0.06030833949311613
91,AES,AES US         d,874761,2013,0000874761-14-000011,10-K,20131231,20140226,20140225,AES CORP,1231,17164,15891,16124,-912,114,769,-0.05313446749009555,0.007173872003020577,0.047692880178615726,-0.0741668608715917,0.014662387514945566,0.06030833949311613,0.04051900817559515
92,AES,AES US         d,874761,2014,0000874761-15-000009,10-K,20141231,20150226,20150225,AES CORP,1231,15891,16124,11260,114,769,306,0.007173872003020577,0.047692880178615726,0.027175843694493784,0.014662387514945566,-0.3016621185809973,0.04051900817559515,-0.020517036484121943
93,AES,AES US         d,874761,2015,0000874761-16-000077,10-K,20151231,20160224,20160223,AES CORP,1231,16124,11260,10281,769,306,-1130,0.047692880178615726,0.027175843694493784,-0.10991148720941543,-0.3016621185809973,-0.0869449378330373,-0.020517036484121943,-0.1370873309039092
94,AES,AES US         d,874761,2016,0000874761-17-000003,10-K,20161231,20170227,20170224,AES CORP,1231,11260,10281,10530,306,-1130,-1161,0.027175843694493784,-0.10991148720941543,-0.11025641025641025,-0.0869449378330373,0.02421943390720747,-0.1370873309039092,-0.0003449230469948217
