TICKERS,TICKER FROM BLOOMBERG,CIK,YEAR,REVENUE,INCOME,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,FISCAL YEAR END
AAPL,AAPL US        d,320193,2014,182795,39510,0001193125-14-383437,10-K,20140927,20141027,20141027,APPLE INC,927
AAPL,AAPL US        d,320193,2015,233715,53394,0001193125-15-356351,10-K,20150926,20151028,20151028,APPLE INC,927
AAPL,AAPL US        d,320193,2016,215639,45687,0001628280-16-020309,10-K,20160924,20161026,20161026,APPLE INC,924
AAPL,AAPL US        d,320193,2017,229234,48351,0000320193-17-000070,10-K,20170930,20171103,20171103,APPLE INC,930
AAPL,AAPL US        d,320193,2018,265595,59531,0000320193-18-000145,10-K,20180929,20181105,20181105,APPLE INC,930
AAPL,AAPL US        d,320193,2019,260174,55256,0000320193-19-000119,10-K,20190928,20191031,20191030,Apple Inc.,928
AAPL,AAPL US        d,320193,2020,274515,57411,0000320193-20-000096,10-K,20200926,20201030,20201029,Apple Inc.,926
AAPL,AAPL US        d,320193,2021,365817,94680,0000320193-21-000105,10-K,20210925,20211029,20211028,Apple Inc.,925
AAPL,AAPL US        d,320193,2022,394328,99803,0000320193-22-000108,10-K,20220924,20221028,20221027,Apple Inc.,924
AAPL,AAPL US        d,320193,2023,383285,96995,0000320193-23-000106,10-K,20230930,20231103,20231102,Apple Inc.,930
ABBV,ABBV US       d,1551152,2015,22859,5144,0001047469-16-010239,10-K,20151231,20160219,20160219,AbbVie Inc.,1231
ABNB,ABNB US       d,1559720,2020,3378.2,-4584.72,0001559720-21-000010,10-K,20201231,20210226,20210226,"Airbnb, Inc.",1231
ABNB,ABNB US       d,1559720,2021,5992,-352,0001559720-22-000006,10-K,20211231,20220225,20220225,"Airbnb, Inc.",1231
ABNB,ABNB US       d,1559720,2022,8399,1893,0001559720-23-000003,10-K,20221231,20230217,20230217,"Airbnb, Inc.",1231
ABT,ABT US         d,1800,2021,43075,7071,0001104659-22-025141,10-K,20211231,20220218,20220218,ABBOTT LABORATORIES,1231
ABT,ABT US         d,1800,2022,43653,6933,0001628280-23-004026,10-K,20221231,20230217,20230217,ABBOTT LABORATORIES,1231
ACN,ACN US         d,1467373,2020,44327.04,5107.84,0001467373-20-000376,10-K,20200831,20201022,20201022,Accenture plc,831
ACN,ACN US         d,1467373,2021,50533.39,5906.81,0001467373-21-000229,10-K,20210831,20211015,20211015,Accenture plc,831
ACN,ACN US         d,1467373,2022,61594.31,6877.17,0001467373-22-000295,10-K,20220831,20221012,20221012,Accenture plc,831
ACN,ACN US         d,1467373,2023,64111.75,6871.56,0001467373-23-000324,10-K,20230831,20231012,20231012,Accenture plc,831
ADBE,ADBE US        d,796343,2007,3157.88,723.81,0001047469-08-000497,10-K,20071130,20080124,20080124,ADOBE SYSTEMS INC,1130
ADBE,ADBE US        d,796343,2008,3579.89,871.81,0000796343-09-000007,10-K,20081128,20090123,20090123,ADOBE SYSTEMS INC,1130
ADBE,ADBE US        d,796343,2009,2945.85,386.51,0000796343-10-000003,10-K,20091127,20100122,20100122,ADOBE SYSTEMS INC,1130
ADBE,ADBE US        d,796343,2010,3800,774.68,0000796343-11-000003,10-K,20101203,20110127,20110127,ADOBE SYSTEMS INC,1130
ADM,ADM US         d,7084,2009,69207,1684,0000007084-09-000051,10-K,20090630,20090826,20090826,ARCHER DANIELS MIDLAND CO,630
ADM,ADM US         d,7084,2011,80676,2036,0000007084-11-000028,10-K,20110630,20110825,20110824,ARCHER DANIELS MIDLAND CO,630
ADM,ADM US         d,7084,2012,90559,1375,0000007084-12-000034,10-K,20120630,20120827,20120824,ARCHER DANIELS MIDLAND CO,630
ADM,ADM US         d,7084,2012,90559,1375,0000007084-13-000014,10-KT,20121231,20130228,20130228,ARCHER DANIELS MIDLAND CO,1231
ADM,ADM US         d,7084,2013,89804,1342,0000007084-14-000011,10-K,20131231,20140226,20140226,ARCHER DANIELS MIDLAND CO,1231
ADM,ADM US         d,7084,2014,81201,2248,0000007084-15-000005,10-K,20141231,20150220,20150220,ARCHER DANIELS MIDLAND CO,1231
ADM,ADM US         d,7084,2015,67702,1849,0000007084-16-000046,10-K,20151231,20160219,20160219,ARCHER DANIELS MIDLAND CO,1231
ADM,ADM US         d,7084,2016,62346,1279,0000007084-17-000008,10-K,20161231,20170217,20170217,ARCHER DANIELS MIDLAND CO,1231
ADM,ADM US         d,7084,2017,60828,1595,0000007084-18-000012,10-K,20171231,20180216,20180216,ARCHER DANIELS MIDLAND CO,1231
ADM,ADM US         d,7084,2018,64341,1810,0000007084-19-000012,10-K,20181231,20190219,20190219,ARCHER DANIELS MIDLAND CO,1231
ADM,ADM US         d,7084,2019,64656,1379,0000007084-20-000009,10-K,20191231,20200218,20200218,Archer-Daniels-Midland Co,1231
ADM,ADM US         d,7084,2020,64355,1772,0000007084-21-000008,10-K,20201231,20210218,20210218,Archer-Daniels-Midland Co,1231
ADM,ADM US         d,7084,2021,85249,2709,0000007084-22-000008,10-K,20211231,20220217,20220217,Archer-Daniels-Midland Co,1231
ADM,ADM US         d,7084,2022,101556,4340,0000007084-23-000010,10-K,20221231,20230214,20230214,Archer-Daniels-Midland Co,1231
ADP,ADP US         d,8670,2015,10938.5,1452.5,0000008670-15-000021,10-K,20150630,20150807,20150807,AUTOMATIC DATA PROCESSING INC,630
ADP,ADP US         d,8670,2019,14110.2,2292.8,0000008670-19-000021,10-K,20190630,20190809,20190809,AUTOMATIC DATA PROCESSING INC,630
ADP,ADP US         d,8670,2020,14589.8,2466.5,0000008670-20-000032,10-K,20200630,20200805,20200805,AUTOMATIC DATA PROCESSING INC,630
ADP,ADP US         d,8670,2021,15005.4,2598.5,0000008670-21-000027,10-K,20210630,20210804,20210804,AUTOMATIC DATA PROCESSING INC,630
ADP,ADP US         d,8670,2022,16498.3,2948.9,0000008670-22-000038,10-K,20220630,20220803,20220803,AUTOMATIC DATA PROCESSING INC,630
ADP,ADP US         d,8670,2023,18012.2,3412,0000008670-23-000030,10-K,20230630,20230803,20230803,AUTOMATIC DATA PROCESSING INC,630
ADSK,ADSK US       d,769397,2014,2273.9,228.8,0000769397-14-000018,10-K,20140131,20140310,20140310,AUTODESK INC,131
ADSK,ADSK US       d,769397,2015,2512.2,81.8,0000769397-15-000012,10-K,20150131,20150318,20150318,AUTODESK INC,131
ADSK,ADSK US       d,769397,2016,2504.1,-330.5,0000769397-16-000067,10-K,20160131,20160323,20160323,AUTODESK INC,131
ADSK,ADSK US       d,769397,2017,2031,-582.1,0000769397-17-000014,10-K,20170131,20170321,20170321,AUTODESK INC,131
ADSK,ADSK US       d,769397,2018,2056.6,-566.9,0000769397-18-000011,10-K,20180131,20180322,20180322,AUTODESK INC,131
ADSK,ADSK US       d,769397,2019,2569.8,-80.8,0000769397-19-000016,10-K,20190131,20190325,20190325,AUTODESK INC,131
ADSK,ADSK US       d,769397,2020,3274.3,214.5,0000769397-20-000013,10-K,20200131,20200319,20200319,"Autodesk, Inc.",131
ADSK,ADSK US       d,769397,2021,3790.4,1208.2,0000769397-21-000014,10-K,20210131,20210319,20210319,"Autodesk, Inc.",131
ADSK,ADSK US       d,769397,2022,4386.4,497,0000769397-22-000019,10-K,20220131,20220314,20220314,"Autodesk, Inc.",131
ADSK,ADSK US       d,769397,2023,5005,823,0000769397-23-000036,10-K,20230131,20230314,20230314,"Autodesk, Inc.",131
AEE,AEE US          d,1002910,2007,7562,618,0000950137-08-003079,10-K,20071231,20080229,20080229,AMEREN CORP,1231
AEE,AEE US          d,1002910,2008,7839,605,0001193125-09-042636,10-K,20081231,20090302,20090302,AMEREN CORP,1231
AEP,AEP US         d,4904,1999,12407,972,0000004904-00-000039,10-K405,19991231,20000324,Not found,AMERICAN ELECTRIC POWER COMPANY INC,1231
AES,AES US         d,874761,2009,13110,658,0001193125-10-041006,10-K,20091231,20100226,20100225,AES CORP,1231
AES,AES US         d,874761,2010,15443,9,0001193125-11-047720,10-K,20101231,20110228,20110225,AES CORP,1231
AES,AES US         d,874761,2011,16098,58,0001193125-12-078654,10-K,20111231,20120227,20120224,AES CORP,1231
AES,AES US         d,874761,2012,17164,-912,0001193125-13-077580,10-K,20121231,20130227,20130226,AES CORP,1231
AES,AES US         d,874761,2013,15891,114,0000874761-14-000011,10-K,20131231,20140226,20140225,AES CORP,1231
AES,AES US         d,874761,2014,16124,769,0000874761-15-000009,10-K,20141231,20150226,20150225,AES CORP,1231
AES,AES US         d,874761,2015,11260,306,0000874761-16-000077,10-K,20151231,20160224,20160223,AES CORP,1231
AES,AES US         d,874761,2016,10281,-1130,0000874761-17-000003,10-K,20161231,20170227,20170224,AES CORP,1231
AES,AES US         d,874761,2017,10530,-1161,0000874761-18-000014,10-K,20171231,20180227,20180226,AES CORP,1231
AES,AES US         d,874761,2018,10736,1203,0000874761-19-000012,10-K,20181231,20190227,20190226,AES CORP,1231
AES,AES US         d,874761,2019,10189,303,0000874761-20-000012,10-K,20191231,20200228,20200227,AES CORP,1231
AES,AES US         d,874761,2020,9660,46,0000874761-21-000015,10-K,20201231,20210225,20210224,AES CORP,1231
AES,AES US         d,874761,2021,11141,-409,0000874761-22-000022,10-K,20211231,20220228,20220228,AES CORP,1231
AES,AES US         d,874761,2022,12617,-546,0000874761-23-000010,10-K,20221231,20230301,20230301,AES CORP,1231
AFL,AFL US          d,4977,2017,21667,4604,0000004977-18-000054,10-K,20171231,20180223,20180222,AFLAC INC,1231
AFL,AFL US          d,4977,2018,21758,2920,0000004977-19-000049,10-K,20181231,20190225,20190225,AFLAC INC,1231
AFL,AFL US          d,4977,2019,22307,3304,0000004977-20-000044,10-K,20191231,20200221,20200221,AFLAC INC,1231
AFL,AFL US          d,4977,2020,22147,4778,0000004977-21-000047,10-K,20201231,20210223,20210223,AFLAC INC,1231
AFL,AFL US          d,4977,2021,22106,4325,0000004977-22-000058,10-K,20211231,20220223,20220223,AFLAC INC,1231
AFL,AFL US          d,4977,2022,19502,4201,0000004977-23-000055,10-K,20221231,20230224,20230223,AFLAC INC,1231
AIZ,AIZ US          d,1267238,2003,7066.21,185.65,0000950123-04-003991,10-K,20031231,20040330,Not found,ASSURANT INC,Not found
AIZ,AIZ US          d,1267238,2004,7410.71,350.56,0000950123-05-003934,10-K,20041231,20050331,20050331,ASSURANT INC,Not found
AIZ,AIZ US          d,1267238,2005,7497.68,479.36,0001193125-06-051258,10-K,20051231,20060310,20060310,ASSURANT INC,Not found
AIZ,AIZ US          d,1267238,2006,8070.58,717.42,0001193125-07-044409,10-K,20061231,20070301,20070301,ASSURANT INC,Not found
AIZ,AIZ US          d,1267238,2007,8453.52,653.75,0001193125-08-044379,10-K,20071231,20080303,20080303,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2008,8601.23,447.8,0001193125-09-040498,10-K,20081231,20090227,20090227,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2009,8700.5,430.57,0001193125-10-040943,10-K,20091231,20100225,20100225,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2010,8527.72,279.18,0001193125-11-043706,10-K,20101231,20110223,20110223,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2010,8527.72,279.18,0001193125-11-047709,10-K/A,20101231,20110225,20110225,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2011,8272.8,538.96,0001193125-12-075371,10-K,20111231,20120223,20120223,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2012,8508.27,483.71,0001193125-13-067448,10-K,20121231,20130220,20130220,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2013,9047.66,488.91,0001193125-14-057434,10-K,20131231,20140219,20140218,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2014,10383.16,470.91,0001193125-15-054288,10-K,20141231,20150219,20150219,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2015,10325.49,141.56,0001628280-16-011239,10-K,20151231,20160216,20160216,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2016,7531.78,565.35,0001628280-17-001320,10-K,20161231,20170214,20170214,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2017,6415,519.6,0001628280-18-001695,10-K,20171231,20180214,20180214,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2018,8057.6,251,0001628280-19-001767,10-K,20181231,20190222,20190222,ASSURANT INC,1231
AIZ,AIZ US          d,1267238,2019,9569.1,382.6,0001267238-20-000004,10-K,20191231,20200219,20200219,"ASSURANT, INC.",1231
AIZ,AIZ US          d,1267238,2020,9595.5,441.8,0001267238-21-000010,10-K,20201231,20210219,20210219,"ASSURANT, INC.",1231
AIZ,AIZ US          d,1267238,2021,10187.6,1361.8,0001267238-22-000006,10-K,20211231,20220222,20220222,"ASSURANT, INC.",1231
AIZ,AIZ US          d,1267238,2022,10193,276.6,0001267238-23-000007,10-K,20221231,20230217,20230217,"ASSURANT, INC.",1231
AJG,AJG US         d,354190,2009,1729.3,128.6,0001193125-10-023360,10-K,20091231,20100205,20100205,GALLAGHER ARTHUR J & CO,1231
AJG,AJG US         d,354190,2012,2520.3,195,0001193125-13-046126,10-K,20121231,20130208,20130208,GALLAGHER ARTHUR J & CO,1231
AJG,AJG US         d,354190,2015,5392.4,356.8,0001193125-16-457703,10-K,20151231,20160210,20160210,GALLAGHER ARTHUR J & CO,1231
AJG,AJG US         d,354190,2016,5680.5,396.8,0001193125-17-038619,10-K,20161231,20170213,20170210,GALLAGHER ARTHUR J & CO,1231
AJG,AJG US         d,354190,2017,6249,481.3,0001193125-18-038261,10-K,20171231,20180212,20180209,GALLAGHER ARTHUR J & CO,1231
AJG,AJG US         d,354190,2018,6934,633.5,0001193125-19-032304,10-K,20181231,20190208,20190208,GALLAGHER ARTHUR J & CO,1231
AJG,AJG US         d,354190,2019,7195,668.8,0001193125-20-028191,10-K,20191231,20200207,20200207,ARTHUR J. GALLAGHER & CO.,1231
AJG,AJG US         d,354190,2020,7003.6,818.8,0001564590-21-004555,10-K,20201231,20210208,20210205,Arthur J. Gallagher & Co.,1231
AJG,AJG US         d,354190,2021,8209.4,906.8,0001564590-22-005714,10-K,20211231,20220218,20220218,Arthur J. Gallagher & Co.,1231
AKAM,AKAM US       d,1086222,2001,163.21,-2435.51,0000950135-02-001140,10-K405,20011231,20020227,Not found,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2003,161.26,-29.28,0000950135-04-001174,10-K,20031231,20040310,Not found,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2004,210.02,34.36,0000950135-05-001475,10-K,20041231,20050316,20050316,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2006,428.67,57.4,0000950135-07-001307,10-K,20061231,20070301,20070301,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2009,859.77,145.91,0001193125-10-044561,10-K,20091231,20100301,20100301,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2010,1023.59,171.22,0001193125-11-051569,10-K,20101231,20110301,20110301,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2011,1158.54,200.9,0001266432-12-000010,10-K,20111231,20120229,20120229,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2012,1373.95,203.99,0001266432-13-000021,10-K,20121231,20130301,20130301,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2013,1577.92,293.49,0001542567-14-000009,10-K,20131231,20140303,20140303,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2014,1963.87,333.95,0001086222-15-000066,10-K,20141231,20150302,20150302,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2015,2197.45,321.41,0001086222-16-000245,10-K,20151231,20160229,20160229,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2016,2340.05,316.13,0001086222-17-000080,10-K,20161231,20170228,20170228,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2018,2714.47,298.37,0001086222-19-000066,10-K,20181231,20190228,20190228,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2019,2893.62,478.04,0001086222-20-000045,10-K,20191231,20200228,20200228,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2020,3198.15,557.05,0001086222-21-000075,10-K,20201231,20210226,20210226,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2021,3461.22,651.64,0001086222-22-000058,10-K,20211231,20220228,20220228,AKAMAI TECHNOLOGIES INC,1231
AKAM,AKAM US       d,1086222,2022,3616.65,523.67,0001086222-23-000078,10-K,20221231,20230228,20230228,AKAMAI TECHNOLOGIES INC,1231
ALB,ALB US         d,915913,2006,2368.51,142.97,0001206774-06-000435,10-K,20060314,20060315,20060315,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2006,2368.51,142.97,0001193125-07-044118,10-K,20061231,20070301,20070301,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2007,2336.19,229.69,0001193125-08-042183,10-K,20071231,20080229,20080228,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2008,2467.11,194.2,0001193125-09-040740,10-K,20081231,20090227,20090227,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2009,2005.39,178.37,0001193125-10-042722,10-K,20091231,20100226,20100226,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2010,2362.76,323.72,0001193125-11-047404,10-K,20101231,20110225,20110225,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2011,2869.01,392.11,0001193125-12-071957,10-K,20111231,20120222,20120222,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2012,2519.15,311.54,0001193125-13-062728,10-K,20121231,20130215,20130215,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2013,2394.27,413.17,0000915913-14-000008,10-K,20131231,20140225,20140225,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2015,2826.43,334.91,0000915913-16-000041,10-K,20151231,20160229,20160229,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2016,2677.2,643.67,0000915913-17-000010,10-K,20161231,20170228,20170227,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2017,3071.98,54.85,0000915913-18-000005,10-K,20171231,20180228,20180227,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2019,3589.43,533.23,0000915913-20-000040,10-K,20191231,20200226,20200226,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2020,3128.91,375.76,0000915913-21-000018,10-K,20201231,20210219,20210219,ALBEMARLE CORP,1231
ALB,ALB US         d,915913,2022,7320.1,2689.82,0000915913-23-000039,10-K,20221231,20230215,20230215,ALBEMARLE CORP,1231
ALGN,ALGN US        d,1097149,2007,284.33,35.72,0001047469-08-001750,10-K,20071231,20080226,20080226,ALIGN TECHNOLOGY INC,1231
ALGN,ALGN US        d,1097149,2008,303.98,79.99,0001047469-09-001977,10-K,20081231,20090227,20090227,ALIGN TECHNOLOGY INC,1231
ALGN,ALGN US        d,1097149,2021,3952.58,772.02,0001097149-22-000011,10-K,20211231,20220225,20220225,ALIGN TECHNOLOGY INC,1231
ALGN,ALGN US        d,1097149,2022,3734.64,361.57,0001097149-23-000013,10-K,20221231,20230227,20230227,ALIGN TECHNOLOGY INC,1231
ALLE,ALLE US        d,1579241,2013,2069.6,32.3,0001579241-14-000007,10-K,20131231,20140310,20140310,Allegion plc,1231
ALLE,ALLE US        d,1579241,2014,2118.3,175.2,0001579241-15-000005,10-K,20141231,20150227,20150227,Allegion plc,1231
ALLE,ALLE US        d,1579241,2015,2068.1,153.9,0001579241-16-000056,10-K,20151231,20160226,20160226,Allegion plc,1231
ALLE,ALLE US        d,1579241,2016,2238,229.1,0001579241-17-000009,10-K,20161231,20170217,20170217,Allegion plc,1231
ALLE,ALLE US        d,1579241,2017,2408.2,273.3,0001579241-18-000007,10-K,20171231,20180220,20180220,Allegion plc,1231
ALLE,ALLE US        d,1579241,2018,2731.7,434.9,0001579241-19-000006,10-K,20181231,20190219,20190219,Allegion plc,1231
ALLE,ALLE US        d,1579241,2020,2719.9,314.3,0001579241-21-000020,10-K,20201231,20210216,20210216,Allegion plc,1231
ALLE,ALLE US        d,1579241,2021,2867.4,483,0001579241-22-000019,10-K,20211231,20220215,20220215,Allegion plc,1231
ALLE,ALLE US        d,1579241,2022,3271.9,458,0001579241-23-000006,10-K,20221231,20230222,20230222,Allegion plc,1231
AMAT,AMAT US      xd,6951,2004,8013.05,1351.3,0000950134-04-019339,10-K,20041031,20041215,20041215,APPLIED MATERIALS INC /DE,1026
AMAT,AMAT US      xd,6951,2005,6991.82,1209.9,0000950134-05-023162,10-K,20051030,20051214,20051214,APPLIED MATERIALS INC /DE,1026
AMAT,AMAT US      xd,6951,2008,8129.24,960.75,0000950134-08-022104,10-K,20081026,20081212,20081212,APPLIED MATERIALS INC /DE,1028
AMAT,AMAT US      xd,6951,2009,5014,-305,0000950123-09-070205,10-K,20091025,20091211,20091211,APPLIED MATERIALS INC /DE,1026
AMAT,AMAT US      xd,6951,2010,9549,938,0000950123-10-112754,10-K,20101031,20101210,20101210,APPLIED MATERIALS INC /DE,1031
AMAT,AMAT US      xd,6951,2011,10517,1926,0001193125-11-332050,10-K,20111030,20111206,20111206,APPLIED MATERIALS INC /DE,1031
AMAT,AMAT US      xd,6951,2012,8719,109,0000006951-12-000018,10-K,20121028,20121205,20121205,APPLIED MATERIALS INC /DE,1030
AMAT,AMAT US      xd,6951,2013,7509,256,0000006951-13-000044,10-K,20131027,20131204,20131204,APPLIED MATERIALS INC /DE,1030
AMAT,AMAT US      xd,6951,2014,9072,1072,0000006951-14-000037,10-K,20141026,20141217,20141217,APPLIED MATERIALS INC /DE,1030
AMAT,AMAT US      xd,6951,2015,9659,1377,0000006951-15-000034,10-K,20151025,20151209,20151209,APPLIED MATERIALS INC /DE,1030
AMAT,AMAT US      xd,6951,2016,10825,1721,0000006951-16-000068,10-K,20161030,20161215,20161215,APPLIED MATERIALS INC /DE,1030
AMAT,AMAT US      xd,6951,2017,14698,3519,0000006951-17-000038,10-K,20171029,20171215,20171215,APPLIED MATERIALS INC /DE,1030
AMAT,AMAT US      xd,6951,2018,16705,3038,0000006951-18-000041,10-K,20181028,20181213,20181213,APPLIED MATERIALS INC /DE,1028
AMAT,AMAT US      xd,6951,2019,14608,2706,0000006951-19-000046,10-K,20191027,20191213,20191213,APPLIED MATERIALS INC /DE,1027
AMAT,AMAT US      xd,6951,2020,17202,3619,0000006951-20-000048,10-K,20201025,20201211,20201211,APPLIED MATERIALS INC /DE,1025
AMAT,AMAT US      xd,6951,2021,23063,5888,0000006951-21-000043,10-K,20211031,20211217,20211217,APPLIED MATERIALS INC /DE,1031
AMAT,AMAT US      xd,6951,2022,25785,6525,0000006951-22-000043,10-K,20221030,20221216,20221216,APPLIED MATERIALS INC /DE,1030
AMAT,AMAT US      xd,6951,2023,26517,6856,0000006951-23-000041,10-K,20231029,20231215,20231215,APPLIED MATERIALS INC /DE,1029
AMCR,AMCR US       d,1748790,2019,9458.2,430.2,0001748790-19-000003,10-K,20190630,20190903,20190903,Amcor plc,1231
AMCR,AMCR US       d,1748790,2021,12861,939,0001748790-21-000031,10-K,20210630,20210824,20210824,Amcor plc,630
AMCR,AMCR US       d,1748790,2022,14544,805,0001748790-22-000024,10-K,20220630,20220818,20220818,Amcor plc,630
